notes,commentaires 
2.0 out of 5 stars,purchased refurbished galaxy son's birthday arrived excellent physical condition really beautiful piece hardware however immediately realized battery charging issue basically would fully charge safemode safemode would quickly run activity unfortunately appears common issue samsung phones updating android oreo made sure apps date recalibrated battery meter implemented battery saving measures pointed samsung address issue samsung community no joy many posts concerning issue hope samsung finds fix soon otherwise great phonefortunately seller buyspry responsive refunded purchase means remedy exhausted not fault seller issue even brand new phones
1.0 out of 5 stars,not bother buying one these obviously not inspect properly able notice obvious screen defect withing hours owning phone caught never tried pass anyone first day got noticed top screen lighter bottom not notice already transferred data got new sim card figured would try get used instead going trouble getting new phone proved extremely annoying weeks volume button became stuck stuck safe mode infuriating won't able transfer everything new phone whole refurbished journey huge headache greatly regret trusting people actually got look function new
5.0 out of 5 stars,great phone indeed unlocked use ultra sim card issues came plastic wraps charger booklets which didn't read course initial setup mode tip first inserting sim card not insert memory chip hanged put sim chip removed memory card initial setup went ok could insert memory card reading it tip galaxy slot sim card memory chip opened pressing tiny hole don't think special key thin wire stick came phone asked one ultra shop marked verizon know difficult unlock unlocked ok fast delivery ps bought store buyspry
1.0 out of 5 stars,return wasn't actually unlocked full att bloatware well not work republic wireless
1.0 out of 5 stars,bought present sister turned nightmare
4.0 out of 5 stars,real rating would stars could give that used week writing review ad describes looks works like new not quite glass back fine couple obvious scratches home key trim top aren't awful still looks pretty good don't really care pointing discrepancy i'm also little concerned usb port worn doesn't connect properly using couple cables work fine devices pay close attention charging cable get hooked right far not real problem unless gets worse switching phones not effortless they'd like believe i'm att moving get new sim card different size att tech installed free asked initialization procedure seller explains tube stated wasn't necessary would automatically believe since started getting texts calls right away problem was unlocked verizon also started looking updates i'm assuming verizon could longer access effectively blocked functions kept futzing it restarts getting settings could lock finally got working right still not sure how maybe fixed itself used samsung's smart switch transfer data apps worked reasonably well somehow skipped apps compete samsung's bloatware imagine that battery life seems good i'm fairly light user getting couple days charge careful summing up not quite brand new decent enough looking aren't anal took hours work get functioning right actually better worse expected nice money especially compared price new one got years refurbished still works although getting quirky  one lasts long i'll complaints
1.0 out of 5 stars,purchased samsung touted amazon's choice refurbisher thought would get good working order not fraught preexisting conditions first problem saw unpacking glass cover camera broken would take pictures don't take lots pictures decided keep even issue need business didn't want take week delay returning getting another would takethe second problem became quickly apparent didn't change battery refurbishment process even first month using phone could seldom get day charge not huge internet surfer even one spend hour day use keeping emails and millenial standards low level texting read several articles went removed disabled every app could order make sure problem wasn't sort background use battery even that situation continued deteriorate point battery lasting hours got external battery kept connected order able use phone again painfully obvious refurbisher neither change battery even checked see battery shot reselling phonethe final straw now september months purchasing phone display gone completely unuseable spending weekend move stuff old samsung order get business order another phone course warranty protection phone even covering monthsthe bottom line don't buy refurbished amazon phone find lesser expensive afford new phones returned problem amazon simply selling asis unsuspecting customers
2.0 out of 5 stars,purchased refurbished galaxy son's birthday arrived excellent physical condition really beautiful piece hardware however immediately realized battery charging issue basically would fully charge safemode safemode would quickly run activity unfortunately appears common issue samsung phones updating android oreo made sure apps date recalibrated battery meter implemented battery saving measures pointed samsung address issue samsung community no joy many posts concerning issue hope samsung finds fix soon otherwise great phonefortunately seller buyspry responsive refunded purchase means remedy exhausted not fault seller issue even brand new phones
1.0 out of 5 stars,not bother buying one these obviously not inspect properly able notice obvious screen defect withing hours owning phone caught never tried pass anyone first day got noticed top screen lighter bottom not notice already transferred data got new sim card figured would try get used instead going trouble getting new phone proved extremely annoying weeks volume button became stuck stuck safe mode infuriating won't able transfer everything new phone whole refurbished journey huge headache greatly regret trusting people actually got look function new
5.0 out of 5 stars,great phone indeed unlocked use ultra sim card issues came plastic wraps charger booklets which didn't read course initial setup mode tip first inserting sim card not insert memory chip hanged put sim chip removed memory card initial setup went ok could insert memory card reading it tip galaxy slot sim card memory chip opened pressing tiny hole don't think special key thin wire stick came phone asked one ultra shop marked verizon know difficult unlock unlocked ok fast delivery ps bought store buyspry
1.0 out of 5 stars,return wasn't actually unlocked full att bloatware well not work republic wireless
1.0 out of 5 stars,bought present sister turned nightmare
4.0 out of 5 stars,real rating would stars could give that used week writing review ad describes looks works like new not quite glass back fine couple obvious scratches home key trim top aren't awful still looks pretty good don't really care pointing discrepancy i'm also little concerned usb port worn doesn't connect properly using couple cables work fine devices pay close attention charging cable get hooked right far not real problem unless gets worse switching phones not effortless they'd like believe i'm att moving get new sim card different size att tech installed free asked initialization procedure seller explains tube stated wasn't necessary would automatically believe since started getting texts calls right away problem was unlocked verizon also started looking updates i'm assuming verizon could longer access effectively blocked functions kept futzing it restarts getting settings could lock finally got working right still not sure how maybe fixed itself used samsung's smart switch transfer data apps worked reasonably well somehow skipped apps compete samsung's bloatware imagine that battery life seems good i'm fairly light user getting couple days charge careful summing up not quite brand new decent enough looking aren't anal took hours work get functioning right actually better worse expected nice money especially compared price new one got years refurbished still works although getting quirky  one lasts long i'll complaints
1.0 out of 5 stars,so not getting charger pair headphones plain cardboard box came in took back jamaica gsm unlocked asks network unlock code meaning not unlocked bought gsm unlocked devices work perfectly jamaica not one requesting unlock code att told this device isn't eligible unlocked payments not paidi want money back deter anyone buying device seller
1.0 out of 5 stars,failed less two months battery losing charge fast screen started flickering started automatically deleting data without user anything cause it
5.0 out of 5 stars,wife's galaxy sbought mine great phone carrier required unlocked gsm phone one it's labeled verizon back booted perfectly got connected router email systems ease days later got sim card installed cell got stuck trying work processand sat spinning said processingplease wait minutes did many timesafter minutes trying several fixes customer service rep thought perhaps factory reset not master reset problem  done everything worked perfectly soshould happen kiss electronicswhen buy one kiss electronics did keep scenario mind  not know kiss electronic's fault samsung's case cell master reset  get cell anything it would suggest master reset suresafe
1.0 out of 5 stars,purchased samsung touted amazon's choice refurbisher thought would get good working order not fraught preexisting conditions first problem saw unpacking glass cover camera broken would take pictures don't take lots pictures decided keep even issue need business didn't want take week delay returning getting another would takethe second problem became quickly apparent didn't change battery refurbishment process even first month using phone could seldom get day charge not huge internet surfer even one spend hour day use keeping emails and millenial standards low level texting read several articles went removed disabled every app could order make sure problem wasn't sort background use battery even that situation continued deteriorate point battery lasting hours got external battery kept connected order able use phone again painfully obvious refurbisher neither change battery even checked see battery shot reselling phonethe final straw now september months purchasing phone display gone completely unuseable spending weekend move stuff old samsung order get business order another phone course warranty protection phone even covering monthsthe bottom line don't buy refurbished amazon phone find lesser expensive afford new phones returned problem amazon simply selling asis unsuspecting customers
2.0 out of 5 stars,purchased refurbished galaxy son's birthday arrived excellent physical condition really beautiful piece hardware however immediately realized battery charging issue basically would fully charge safemode safemode would quickly run activity unfortunately appears common issue samsung phones updating android oreo made sure apps date recalibrated battery meter implemented battery saving measures pointed samsung address issue samsung community no joy many posts concerning issue hope samsung finds fix soon otherwise great phonefortunately seller buyspry responsive refunded purchase means remedy exhausted not fault seller issue even brand new phones
1.0 out of 5 stars,not bother buying one these obviously not inspect properly able notice obvious screen defect withing hours owning phone caught never tried pass anyone first day got noticed top screen lighter bottom not notice already transferred data got new sim card figured would try get used instead going trouble getting new phone proved extremely annoying weeks volume button became stuck stuck safe mode infuriating won't able transfer everything new phone whole refurbished journey huge headache greatly regret trusting people actually got look function new
5.0 out of 5 stars,great phone indeed unlocked use ultra sim card issues came plastic wraps charger booklets which didn't read course initial setup mode tip first inserting sim card not insert memory chip hanged put sim chip removed memory card initial setup went ok could insert memory card reading it tip galaxy slot sim card memory chip opened pressing tiny hole don't think special key thin wire stick came phone asked one ultra shop marked verizon know difficult unlock unlocked ok fast delivery ps bought store buyspry
1.0 out of 5 stars,return wasn't actually unlocked full att bloatware well not work republic wireless
1.0 out of 5 stars,bought present sister turned nightmare
4.0 out of 5 stars,real rating would stars could give that used week writing review ad describes looks works like new not quite glass back fine couple obvious scratches home key trim top aren't awful still looks pretty good don't really care pointing discrepancy i'm also little concerned usb port worn doesn't connect properly using couple cables work fine devices pay close attention charging cable get hooked right far not real problem unless gets worse switching phones not effortless they'd like believe i'm att moving get new sim card different size att tech installed free asked initialization procedure seller explains tube stated wasn't necessary would automatically believe since started getting texts calls right away problem was unlocked verizon also started looking updates i'm assuming verizon could longer access effectively blocked functions kept futzing it restarts getting settings could lock finally got working right still not sure how maybe fixed itself used samsung's smart switch transfer data apps worked reasonably well somehow skipped apps compete samsung's bloatware imagine that battery life seems good i'm fairly light user getting couple days charge careful summing up not quite brand new decent enough looking aren't anal took hours work get functioning right actually better worse expected nice money especially compared price new one got years refurbished still works although getting quirky  one lasts long i'll complaints
4.0 out of 5 stars,nice screen great fast responsive well designed decent wired headset fast charger included getting good battery life complaint apps come can’t uninstalled especially true bixby app don’t use dedicated button disabled voice dictation doesn’t work well google dictation fortunately changed use google default
4.0 out of 5 stars,bought far they're working great give rating took weeks reach me not sure happened shipping also trouble getting set up came tmobile refused recognize verizon card took hours get work factory reset keep restarting recognized verizon card far phones came factory packaged appeared brand new complaints there make sure check carrier buying see use gsm cdma buy wrong not work
5.0 out of 5 stars,great phone got girlfriend birthday worried would annoying get activated verizon account completely wrong took sim card iphone put new let finish initial setup literally it didn't even log verizon account register anything worked immediately ie could send texts calls use network wifi turned off impressivepros instant setup without hassle contacting verizon didn't need contact even login verizon already sim card another verizon phone fast great screen android great camera expandable disk space slim gorgeous powerful enough emulate games still dedicated headphone jackcons dedicated bixby virtual assistant don't care learn button disabled not reprogrammed inserting sim card works via flimsy insert pops top fortunately likely twice
5.0 out of 5 stars,read good bad ugly reviews took chances day shipping little scratches box least there activated new tmobile sim card existing account data old galaxy got transferred smoothly great sleek modern look feel problems it
4.0 out of 5 stars,arrived quickly took att activation absolutely problem less minutes including adding changes account nice size display clear con font sizes not great don't allow much adjustment bigger screen harder read texts galaxy play screen zoom fonts may see download one works better me overall nice definite upgrade glad stayed galaxy
5.0 out of 5 stars,ordered samsung galaxy unlocked gbus model gu midnight black warranty used good conditions retailed tax shipped amazon prime arrived via fedex presentation packaging nice expected crappy box came nicely detailed android smartphone device box turned worried verizon smart menu inserted metro pcs sim card read not verizon sim card anyways went metro pcs decided get new sim card mines old anyways asked galaxy unlocked said yes guy kinda rude said features not going work properly seems like carrier wants activate unlocked phones days anyways set up got home checked main features use like casting tv wifi browser youtube sharing messaging messaging sharing bluetooth wireless charging sharing calls google chrome google home everything worked perfectly maybe feautures offered verizon network
1.0 out of 5 stars,even begin advertised new black samsung galaxy received gold samsung galaxy edge inside box not mention front back shattered cherry top little don't open seal broken sticker it would hilarious didn't cost i'll putting straight back box return it tough fight urge toss trashthis complete waste money seller blatant scammer saw negative comments thought surely work anyway know i'm doing suspect positive comments posted bots shills sort seller themself please save time money don't fall like didpics laugh misfortune
4.0 out of 5 stars,bought use part verizon account obtained sim card verizon store activated successfully att comes att sim card work verizon network att logo including builtin att apps builtin apps disabled not deleted time not want sync may change updates gave stars could upfront att galaxy great phone far worth savings getting verizon time tell
5.0 out of 5 stars,skeptic buying wasn't sure would work plan ihave boost mobile used worried condition would actually i've gotten it received looked brand new not scratch it boost couldn't activate though became little discouraged girl worked boost told could sprint would help fee went sprint get sims card boost not carry hand would order it went sprint gave info sim card needed able help sims card ended free setup easy that needed put info less minutes running love came warranty purchased october called samsung find much longer warranty good for told august next year two cons purchase doesn't come charger doesn't come fancy headphones comes with overall i'm please purchase
5.0 out of 5 stars,got tired forcibly throttled ios iphone like ipad air seem running slower slower regardless actions taken remedyi decided back androidthis could redeem android prior android phones slow laggy poor performers proved unreliable fast works smooth minimal issue importantly reliable unfortunately little insignificant things not resolved functionality much higher iphone of course still early on issues update review usual
4.0 out of 5 stars,i've samsungs since high school easier use know work like slickness volume picture quality simple person don't generally find everything new technology samsung prompted everything could possibly do also unlocked worked out thought going hassle walked right att new new service running within minutes great buy opinion prime member worth end also arrived sunday promised thing post office service dropped expensive device door without knocking let anyone know there opposed ups fedex don't bother get sign would advice using one amazon mailbox stations gas station ever closest location much safer
1.0 out of 5 stars,warranty listed not valid received phone tried register samsung website received error message possible reasons error include serialimei number not valid product older years product purchased outside uscontacted amazon replacement sent out attempted register it problem spending hour samsung customer service per number warranty listing not warranty available
1.0 out of 5 stars,product not version warranty also model number mentioned different mentioned settings amazon blacklist type sellers vipoutlet mistake amazon amazon sued manipulation tried register phone got following messagepossible reasons error include serialimei number not valid product older years product purchased outside us
5.0 out of 5 stars,samsung live it got replace terribleand battery life super lowi thinking getting sprintbut prices insane not much difference finger print scanner button new processor new camera not worth price monthly payment carrier decided get unlocked not penny what's great works sprint fine highly recommend buy deal carrier financing scam
5.0 out of 5 stars,love look functionality phone got plenty internal storage slot memory chip i'm not thrilled charging port micro usb chargers useless battery life not amazing old phone cheap samsung  hour battery life usually far longer even so love come attachment convert one micro usb car chargers compatible charger so ultimately great purchase i'll charge long work days
1.0 out of 5 stars,bought september absolutely loved it pushed update oreo months ago caused longer allow bluetooth control streaming services vehicles head unit waited fix looked online tried everything factory resets changing developer mode settings updating firmware head unit contacting pandora's tech support samsung's solution send my active phone in wait week two send refurbished one guarantee fix issue yep send purchased new without two weeks they'll send back 'refurbished' potentially scratched screen poor battery likely not fix issue since clearly software problem used swear samsung longer recommend samsung anyone based not working properly time i've owned it currently following samsung devices galaxy s s s gear gear nano samsung refrigerator curved tv say know much enjoyed samsung past release update breaks something expectation buy new one i've given months fix broke oreo update done it trouble though pushing new phone thanks items stop working make sure avoid samsung
1.0 out of 5 stars,samsung galaxy shipped model number smgf international version phone not version specified itemi recently got lines dead pixels samsung refuses pay international version not warranty coverage promised item
1.0 out of 5 stars,like unlocked activated tmobile work fine day unlimited datatalk texted second day got notice notification screen needed verizon sim card the became useless talk text reboot notice start verizon start screen peers locked unlocked advertised
5.0 out of 5 stars,skeptical buying amazon instead verizon reviews half good half bad far activating verizon network advice dont store activate website takes minutes make sure verizon nano sim card able use one iphone transfer contacts music etc app well easy actual great sleek looking phone  verizon try sell payment plan would much rather pay cheaper amazon price keep bill lower  fence like hope review help out
5.0 out of 5 stars,review coming long time apple user years drink koolaid decided make changeupgrading apple ecosystem isn't easy big change incredible may not flagship still greatcamera megapixel camera clear bright not take best low light pictures good not better flagship daylight camera shines excellentscreen samsung always best quality smartphone screens infinity display something get used super sampled display different colors bright vibrant display set factory defaults display crystal clear watching videos photos blow mind compare comparable smartphonesdesign infinity display glad back elegant design allowing great features one not greatfeatures features flagships fingerprint scanner face unlock iris scanner thing placement fingerprint scanner less desirable location right next camera lens easy smudge reaching it face unlock reliable extremely fast optionsdue glass back wireless charging alongside samsung's fast charging system allows easy fast charging anywherehardware snapdragon gigs ram may not latest greatest multitasking everyday tasks seemless gaming also fast smooth razor note capableall great smartphone defintly worth consideration can't stomach phone
1.0 out of 5 stars,support ended screen seems begun hardware issue horizontal lines begun appearing looks hardware issue pretty disappointed amazon support not last longer considering i've seen multiple posts online issue drops water issues phone looks like amoled screens become defective certain time potentially note contact samsung this require send back problem not another use time buyer beware
5.0 out of 5 stars,honestly astounded beautiful advance is coming iphone truly upgrade worth getting pricefirstly screen absolutely best get market right now beautiful  quad hd super amoled resolution makes colors contrast blacks vivid pure pure black pixels turned aren't needed gives amazing black color helps bit battery not needing display extra pixels screen also employs samsung's infinity display creates nearly bezelless design front screen gives provide information screen removed physical buttons really noticeable minutes feature come use quite bit with widgets fast opening certain apps edge glad they've introduced edge screen onto regular series don't prefer it also turn off samsung also added always display shows date time along notifications receive doesn't consume hardly battery life with losing around hoursoftware box runs android nougat also come samsung's 'controversial' touchwiz skin however they've greatly improved experience fluidity software not noticed lag using time now responsive personally enjoy look it always download different launchers liking users able get andriod oreo within early next monthhardware sports along microsd slot expandable storage ram really happy amount ram space that's offered iphone i've always load pages due low ram along disappointing space gb usable limited using old daily news chat apps hardly able play many games definitely not issue i've downloaded many things previously couldn't still beast amount storage left also certified dust water resistantcharging love adaptive fast charge samsung offers products charges quickly without getting hot battery capacity mah fast hours around hours screen time going around hours general happy regular charging seems quite dated premium phonecamera camera truly beautiful detailed surprised much using it photos clear crisp one snap selfies also detailed great look at af front dual pixel af rearsecurity employs two different biometrics unlocking along regular numberline password one we've known time fingerprint scanner to moved right next camera not preferable location hit camera often new iris scanner iris scanner quite convenient though bit close and light workvoice command samsung added new 'bixby' line used similarly amazon's alexa apple's siri google's assistant dedicated button left side allows bixby hear voice questionscommand button also open bixby home shows news events personal widgets bixby 'levels' right increase levels gained bixby using helping feedback doesn't lock behind level requirements use full allows customization unlocks controversial feature far as many find unnecessary though fairly enjoying it really use screenshots don't prefer it apps redirect bixby button use appsoverall experience astounding wouldn't trade anything else really feel premium years come holding out don't wait experience unlike othernote covered broad specs however also smaller details view samsung's homepage want specs information
3.0 out of 5 stars,read reviews needed waterproof phone i've days far still getting used makes noises different times told it appears bed around want enter plans tomorrow now something effect today little creepy me supposed phones communication devices not creeper tracking youi truly believe prices smartphones insane stupid over one iphones run close enough  times changing need stay connected little devicesthe camera works really well takes nice sharp photos bit challenge transfer contacts non samsung one export contacts micro card old put new  took short time bring info new phone
5.0 out of 5 stars,first thinking am nuts spending bucks phone well sanity not withstanding happy new phonei use tracfone account cheap maintain year nice not locked specific carrierand functionality great like biometric features dex functionality bonus didn't even know time bought it built device maintenance means don't run app bombards ads clean phones osthe badsamsung bixby don't problem everyone trying come digital assistant software optional not forced order disable phone first agree license not happy agree let someone house order able tell get outsamsung pay cannot hold walletsamsung health stop shoving advertising facebut that love phone
1.0 out of 5 stars,verizon could not activate not usa version took precautions purchasing case screen protector placed protector box return all waste time money sell usa united arab scam buyer beware
1.0 out of 5 stars,great phone good touchscreen response great camera ect etc would perfect packaged right one don't live freaking europe samsung fail not amazon box listed model smgu usa version inside factory sealed smgf international version imei number even matched could error possibly happen cost half day dealing verizon trying figure problem waspissed
1.0 out of 5 stars,bought two cellphones wife cellphone still working great cellphone software problem since beginning everytime tried update software showed error last week installed samsung smart switch back files showed option could update software app took blue screen cellphone useless doesnt accept emergency software recovery option try get warranty
1.0 out of 5 stars,supposed unlocked compatible cellulardata programs offered by among major providers verizon well wasn't finally took verizon store told simply not compatible verizon frustrating obvious answer best course action provider brick mortar store in case verizon buy there whatever difference price is any offset time hassle saved ugh
5.0 out of 5 stars,ordered device harvey ongoing slight delay inevitable due inclement weather arrived within time frame amazon notified me delaysthe device grouped case screen protector ordered convenient packaging secure expected device price rangeoverall brilliant sharp display clear camera images af runs apps like breeze well suited heavy multitasking bezelless display joy look reading comfortable also ships usb c c adapters helps transition usb type plugsthe battery life amazing sharp bright display also considering hardware mah battery offers enough juice entire day light usage heavy use like watching movies playing games like real racing etc drains faster expected demanding appsthe issue fingerprint sensor close camera real first days using daily driver tend figure doesn't pose much bother unless deliberately want smudge camera lensi would highly recommend device anyone moderately high budget looks amazing performs much better looks would also recommend get protector case the rear side fingerprint magnet wouldn't want crack amazing display screen protector second thoughts would say it
1.0 out of 5 stars,mounth buyingterrible purchase regret never buy samsung device life battery life worst ever needs charge times daycharging port doesn't work phone charged wireless chargerphone heats chargingphone slow since day one use galaxy  edge honest feels like downgrade stay away samsung's customer service not willing anything make send without giving loan device use meantime doesn't make sensemy suggestion samsung learn apple
2.0 out of 5 stars,buy new amazon fyinow know quality product nothing amazon rating obviously product specificallyi even noticed someone problem didit completely died owning months not anything add micro card which allowed device worked fine ever since bought ithowever amazons warranty not great samsung offer year manufacturers warranty new items csr customer support representative helpful straight forward ship them email paid shipping label print place sides box excluding shipping time maintenance processing take business days obviously one deal first place want helpful review someone bad situation happen like did samsung's csr  follow menu prompts get option speak csr it get annoying waiting options get there
1.0 out of 5 stars,warranty listed not valid received phone tried register samsung website received error message possible reasons error include serialimei number not valid product older years product purchased outside uscontacted amazon replacement sent out attempted register it problem spending hour samsung customer service per number warranty listing not warranty available
1.0 out of 5 stars,disappointed purchase us warrantysince opened box came vertical marks edges light marks noticeable screen offi passed issue two days ago screen glass broke botton edge without apparent reasoni took authorized shop change glass attendant told international version don’t warranty us really disappointed phonedon’t know amazon let type products sold site
4.0 out of 5 stars,good i'm really glad got spending verizon phone there's less garbage carrier and things tried install inserted sim card able uninstalled battery life pretty crazy even without power saver mode turned on lasts day switch power saver mode won't use hardly power unless screen turned on curved screen doesn't cause issues touch screen using onehanded positively gorgeous people actually ask have camera super fast takes amazing picturesthe bad bixby not cracked opinion sure cool stuff time not helpful additionally there's really quick perceptible wait microphone turn hold button down also tend push button or gets pushed going pocket accident reason type microphone key keyboard voice dictation refuses use google voice recognition engine not really slick won't fall hand put screen nightstand there's coating something screen actually let slowly slide around because table isn't level
1.0 out of 5 stars,samsung phone came att instruction bookthe description stated unlocked notthe came default language dutch use google translate could get setthe use g not availabledo not purchase expecting version amazon prevent fraudulent vendors like selling site
1.0 out of 5 stars,read review make decisioni purchased seller around months only never dropped device never done physical damage device never done anything operating system using cellphone fun suddenly shows problem device storage corruptedtherefore considering device still oneyear warranty seller states product description contacted samsung service sent repair however samsung repair center told motherboard device replaced therefore warranty not sure seller explanation thisif not suspect seller done something device not buy anything seller not warranty problem samsung would say not official sellers won't responsible it
1.0 out of 5 stars,bought september absolutely loved it pushed update oreo months ago caused longer allow bluetooth control streaming services vehicles head unit waited fix looked online tried everything factory resets changing developer mode settings updating firmware head unit contacting pandora's tech support samsung's solution send my active phone in wait week two send refurbished one guarantee fix issue yep send purchased new without two weeks they'll send back 'refurbished' potentially scratched screen poor battery likely not fix issue since clearly software problem used swear samsung longer recommend samsung anyone based not working properly time i've owned it currently following samsung devices galaxy s s s gear gear nano samsung refrigerator curved tv say know much enjoyed samsung past release update breaks something expectation buy new one i've given months fix broke oreo update done it trouble though pushing new phone thanks items stop working make sure avoid samsung
1.0 out of 5 stars,samsung galaxy shipped model number smgf international version phone not version specified itemi recently got lines dead pixels samsung refuses pay international version not warranty coverage promised item
1.0 out of 5 stars,like unlocked activated tmobile work fine day unlimited datatalk texted second day got notice notification screen needed verizon sim card the became useless talk text reboot notice start verizon start screen peers locked unlocked advertised
5.0 out of 5 stars,skeptical buying amazon instead verizon reviews half good half bad far activating verizon network advice dont store activate website takes minutes make sure verizon nano sim card able use one iphone transfer contacts music etc app well easy actual great sleek looking phone  verizon try sell payment plan would much rather pay cheaper amazon price keep bill lower  fence like hope review help out
5.0 out of 5 stars,review coming long time apple user years drink koolaid decided make changeupgrading apple ecosystem isn't easy big change incredible may not flagship still greatcamera megapixel camera clear bright not take best low light pictures good not better flagship daylight camera shines excellentscreen samsung always best quality smartphone screens infinity display something get used super sampled display different colors bright vibrant display set factory defaults display crystal clear watching videos photos blow mind compare comparable smartphonesdesign infinity display glad back elegant design allowing great features one not greatfeatures features flagships fingerprint scanner face unlock iris scanner thing placement fingerprint scanner less desirable location right next camera lens easy smudge reaching it face unlock reliable extremely fast optionsdue glass back wireless charging alongside samsung's fast charging system allows easy fast charging anywherehardware snapdragon gigs ram may not latest greatest multitasking everyday tasks seemless gaming also fast smooth razor note capableall great smartphone defintly worth consideration can't stomach phone
1.0 out of 5 stars,support ended screen seems begun hardware issue horizontal lines begun appearing looks hardware issue pretty disappointed amazon support not last longer considering i've seen multiple posts online issue drops water issues phone looks like amoled screens become defective certain time potentially note contact samsung this require send back problem not another use time buyer beware
5.0 out of 5 stars,honestly astounded beautiful advance is coming iphone truly upgrade worth getting pricefirstly screen absolutely best get market right now beautiful  quad hd super amoled resolution makes colors contrast blacks vivid pure pure black pixels turned aren't needed gives amazing black color helps bit battery not needing display extra pixels screen also employs samsung's infinity display creates nearly bezelless design front screen gives provide information screen removed physical buttons really noticeable minutes feature come use quite bit with widgets fast opening certain apps edge glad they've introduced edge screen onto regular series don't prefer it also turn off samsung also added always display shows date time along notifications receive doesn't consume hardly battery life with losing around hoursoftware box runs android nougat also come samsung's 'controversial' touchwiz skin however they've greatly improved experience fluidity software not noticed lag using time now responsive personally enjoy look it always download different launchers liking users able get andriod oreo within early next monthhardware sports along microsd slot expandable storage ram really happy amount ram space that's offered iphone i've always load pages due low ram along disappointing space gb usable limited using old daily news chat apps hardly able play many games definitely not issue i've downloaded many things previously couldn't still beast amount storage left also certified dust water resistantcharging love adaptive fast charge samsung offers products charges quickly without getting hot battery capacity mah fast hours around hours screen time going around hours general happy regular charging seems quite dated premium phonecamera camera truly beautiful detailed surprised much using it photos clear crisp one snap selfies also detailed great look at af front dual pixel af rearsecurity employs two different biometrics unlocking along regular numberline password one we've known time fingerprint scanner to moved right next camera not preferable location hit camera often new iris scanner iris scanner quite convenient though bit close and light workvoice command samsung added new 'bixby' line used similarly amazon's alexa apple's siri google's assistant dedicated button left side allows bixby hear voice questionscommand button also open bixby home shows news events personal widgets bixby 'levels' right increase levels gained bixby using helping feedback doesn't lock behind level requirements use full allows customization unlocks controversial feature far as many find unnecessary though fairly enjoying it really use screenshots don't prefer it apps redirect bixby button use appsoverall experience astounding wouldn't trade anything else really feel premium years come holding out don't wait experience unlike othernote covered broad specs however also smaller details view samsung's homepage want specs information
5.0 out of 5 stars,model smg sold fulfilled amazoni bought amazon directly beware negative reviews shopsso far love phone arrived clearly brand new box never touched also came samsung headphones inside box even though option selected 'phone only' lightning fast camera incredible easy transition old galaxy tmobile get microsim activated phone never issue compatibility tmobile overall service coverage actually improved minimal amount preinstalled apps nice won't slow unnecessary bloatware completely satisfied purchase update anything changes
1.0 out of 5 stars,less months call volume longer works numerous hours authorized service center determined manufacturers defect customer support samsung not helpful send back samsung repaired although warranty samsung support refused provide loaner told wait weeks repaired
5.0 out of 5 stars,started show age about years old battery needed constantly charged day hunt new began reading bunch reviews going various forums decided samsung s iphone hated it so not optioni've year couldn't happier unlocked version better buy getting carrier samsung sends updates immediately carrier lot slower rolling latest updates one reasons not getting carrier lack bloatware carriers like add phones unlocked still good battery life three days without charging phone heavy usage go two days charges
5.0 out of 5 stars,wifey's applehead  i'm team samsung  debate continues recently upgraded iphone red special edition  'nice'  received new galaxy s instantaneously reminded style quality excellence samsung deliver not even close fyi  purchased verizon prepaid sim card suggested addon amazon adding cart verizon sim card 'verizon wireless sim kit prepaid sim card moto verizon branded phone' attempted activate sim card verizon wireless website activation would not complete verizon claimed needed 'samsung' sim car kit however wife completed activation steps accompanied sim card kit the instructions packaging  activation completed flawlessly
5.0 out of 5 stars,rated good warehouse deals arrived factory box looked like never opened plastic still screen found scratches imperfections carrier sprint truly unlocked carriersthey hooked minutes clerk asked bought new samsung directly told unlocked version would work internationally tooi couple weeks performed flawlessly another great buy amazon fence like upgrading ahead buy one here awesome phone great much better trust this go ahead buy it amazed too
5.0 out of 5 stars,ordered device harvey ongoing slight delay inevitable due inclement weather arrived within time frame amazon notified me delaysthe device grouped case screen protector ordered convenient packaging secure expected device price rangeoverall brilliant sharp display clear camera images af runs apps like breeze well suited heavy multitasking bezelless display joy look reading comfortable also ships usb c c adapters helps transition usb type plugsthe battery life amazing sharp bright display also considering hardware mah battery offers enough juice entire day light usage heavy use like watching movies playing games like real racing etc drains faster expected demanding appsthe issue fingerprint sensor close camera real first days using daily driver tend figure doesn't pose much bother unless deliberately want smudge camera lensi would highly recommend device anyone moderately high budget looks amazing performs much better looks would also recommend get protector case the rear side fingerprint magnet wouldn't want crack amazing display screen protector second thoughts would say it
1.0 out of 5 stars,mounth buyingterrible purchase regret never buy samsung device life battery life worst ever needs charge times daycharging port doesn't work phone charged wireless chargerphone heats chargingphone slow since day one use galaxy  edge honest feels like downgrade stay away samsung's customer service not willing anything make send without giving loan device use meantime doesn't make sensemy suggestion samsung learn apple
